ampere;volt
-0.00002201;0.000294
-0.00002201;0.00442
-0.00002201;0.014219
-0.00002201;0.033042
-0.000022;0.054987
-0.00002199;0.11
-0.00002198;0.14287
-0.00002195;0.20854
-0.00002172;0.2824
-0.00002073;0.3317
-0.00002021;0.34341
-0.00001901;0.36122
-0.0000184;0.36804
-0.00001722;0.37881
-0.00001612;0.3869
-0.00001512;0.39321
-0.00001422;0.39824
-0.00001341;0.40232
-0.00001171;0.40995
-0.00001038;0.4152
-0.00000844;0.42198
-0.0000071;0.42617
-0.00000539;0.43106
-0.00000435;0.43382
-0.0000011;0.44156
-0.00000009;0.44372
